live,name,lan,kommun,address,website,phone,products,onSiteSales,tastingRoom,openingHours,season,rating,reviewCount,source,place_id,_source_file
yes,Abbes Mejeri,Blekinge,Ronneby,"Kungsgatan 8E, 372 30 Ronneby, Sverige",https://www.facebook.com/abbesmejerii,076-935 39 36,mejeri,no,no,"måndag: 10:00–18:00, tisdag: 10:00–18:00, onsdag: 10:00–18:00, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–16:00, söndag: Stängt",,4.8,55,google-places:gårdsmejeri,ChIJp2J7FaRlVkYRXvA08ZDoWkA,google-places-farms-expansion-2.json
no,Alfreds Café & Pub,Blekinge,,"0735259499, Bräknevägen 17, 372 61 Bräkne-Hoby, Sverige",https://uteserveringar.eu/blekinge/brakne-hoby/alfreds-cafe-pub-i-brakne-hoby-njut-av-deras-uteservering-info-kontakt/,0457-806 41,annat,yes,yes,"måndag: 11:30–14:00, tisdag: 11:30–14:00, onsdag: 11:30–14:00, torsdag: 11:30–14:00, fredag: 11:30–14:00, lördag: Stängt, söndag: Stängt",,4.5,166,google-places:gårdscafé,ChIJe_jq2M-JVkYRIAI9xjOoocI,google-places-farms-expansion-2.json
yes,Andréns Bageri Sturkö,Blekinge,,"Kyrkvägen 22, 373 61 Sturkö, Sverige",http://www.andrensbageri.se/,0455-420 07,bakat,yes,yes,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: 07:00–12:00, söndag: Stängt",,4.8,254,google-places:gårdscafé,ChIJeZw0_oESVkYRcd_Hz404XF0,google-places-farms-expansion-2.json
no,ANTONIO'S,Blekinge,Karlskrona,"Borgmästarekajen 34A, 371 57 Karlskrona, Sverige",http://www.antonios.se/,0455-34 90 90,annat,yes,yes,"måndag: 11:30–14:30, tisdag: 11:30–14:30, 16:00–22:00, onsdag: 11:30–14:30, 16:00–22:00, torsdag: 11:30–14:30, 16:00–22:00, fredag: 11:30–14:30, 16:00–23:00, lördag: 12:00–23:00, söndag: Stängt",,4.5,938,google-places:gårdscafé,ChIJE3XPzQNtVkYR-bI1-X2MjQ0,google-places-farms-expansion-2.json
yes,Aspö mad vin & café,Blekinge,,"Aspö Madsviken, 373 64 Drottningskär, Sverige",https://aspomad.se/,070-814 31 58,vin,yes,yes,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 17:00–22:00, lördag: 17:00–22:00, söndag: Stängt",,4.5,17,google-places:gårdscafé,ChIJRYnKdABtVkYRfImGABpETYU,google-places-farms-expansion-2.json
no,Atria Sverige AB,Blekinge,Sölvesborg,"Furumovägen 110, 294 76 Sölvesborg, Sverige",http://www.atria.se/,010-482 30 00,annat,no,no,"måndag: 11:00–16:30, tisdag: 11:00–16:30, onsdag: 11:00–16:30, torsdag: 11:00–16:30, fredag: 11:00–16:30, lördag: Stängt, söndag: Stängt",,4.4,109,google-places:lokal producent mat,ChIJgcEBREScVkYR8cHmuAOqGFU,google-places-farms-expansion-2.json
yes,Attanäs Gård,Blekinge,,"pl 362, Jämjö kyrka, 373 75 Jämjö, Sverige",http://www.attanasgard.se/,073-425 71 72,annat,yes,no,"måndag: 11:00–18:00, tisdag: 11:00–18:00, onsdag: 11:00–18:00, torsdag: 11:00–18:00, fredag: 11:00–18:00, lördag: 11:00–18:00, söndag: 11:00–18:00",,4.6,30,google-places:gårdsbutik,ChIJA8YpNEQXVkYRYw5cAHdAgSk,google-places-farms-expansion-2.json
no,Bergslagskrogen,Blekinge,Ronneby,"Reddvägen 16, 372 73 Ronneby, Sverige",http://bergslagskrogen.nu/,0457-151 50,annat,yes,yes,"måndag: 11:00–14:30, tisdag: 11:00–14:30, onsdag: 11:00–14:30, torsdag: 11:00–14:30, fredag: 11:00–14:30, lördag: 11:00–14:30, söndag: 11:00–14:30",,4.2,415,google-places:gårdsrestaurang,ChIJeVUvcnBkVkYRKfM0XNjvFLw,google-places-farms-expansion-2.json
no,Biobaren,Blekinge,Karlskrona,"Ronnebygatan 28, 371 13 Karlskrona, Sverige",http://www.biobaren.se/,0455-414 00,annat,yes,yes,"måndag: 16:00–22:00, tisdag: 11:30–14:00, 16:00–23:00, onsdag: 11:30–14:00, 16:00–23:00, torsdag: 11:30–14:00, 16:00–23:00, fredag: 11:30–14:00, 16:00–01:00, lördag: 16:00–01:00, söndag: 16:00–21:30",,4.3,842,google-places:gårdscafé,ChIJsXK2EFVsVkYRbHX1mFUEfoc,google-places-farms-expansion-2.json
no,Birgittas Café & Lanthandel,Blekinge,Ronneby,"Kalvhagsvägen 2, 372 90 Ronneby, Sverige",https://birgittascafeochlanthandel.se/,070-856 25 12,annat,yes,no,"måndag: Stängt, tisdag: 10:00–17:00, onsdag: 10:00–17:00, torsdag: 10:00–17:00, fredag: 10:00–17:00, lördag: 08:00–16:00, söndag: Stängt",,4.9,62,google-places:gårdsbutik,ChIJ3X35a1FjVkYRW6wLNOu7gVk,google-places-farms-expansion-2.json
