"Alskute Farm & Brewery AB",Gotland,Gotland,"sockerbruket, 622 54 Romakloster, Sverige",http://www.alskute.com/,"","","[""öl""]",0,1,0,,free,0
"Barlingbo Bryggeri AB",Gotland,Visby,"Artillerigatan 9, 621 38 Visby, Sverige",http://www.barlingbobryggeri.se/,"0498-10 53 50","","[""öl""]",0,1,0,,free,0
"Bondeblom Gårdsbutik",Gotland,Gotland,"BURS VIDRINGS 309, 623 49 Stånga, Sverige",http://bondeblom.se/,"","","[""annat""]",1,0,0,,free,0
"Bryggeriet Mat & Malt",Gotland,Visby,"Artillerigatan 9, 621 38 Visby, Sverige",http://www.bryggerietvisby.se/,"072-338 31 31","","[""öl""]",0,1,0,,free,0
"Burgsviks bryggeri",Gotland,Gotland,"Skolvägen 10, 623 35 Burgsvik, Sverige",https://www.burgsviksbryggeri.se/,"","","[""öl""]",0,1,0,,free,0
"Buters Gårdsbutik",Gotland,Gotland,"Buters Eko Eskelhem, Buters 422, 622 70 Gotlands Tofta, Sverige",http://buterseko.se/,"070-819 26 06","","[""annat""]",1,0,0,,free,0
"Bäntebingels gård",Gotland,Gotland,"GOTHEM BÄNTEBINGELS 830, 624 30 Slite, Sverige",https://bantebingelsgard.se/,"076-949 90 47","","[""annat""]",1,0,0,,free,0
"Bärgården Källunge AB",Gotland,Visby,"Källunge Burs 134, 621 79 Visby, Sverige",https://www.bargarden.se/,"070-240 77 25","","[""bär""]",1,0,0,,free,0
"Ejmunds Gård & Såg AB",Gotland,Gotland,"ROMA AJMUNDS 660, 622 54 Romakloster, Sverige",http://www.ejmunds.se/,"0498-507 81","","[""annat""]",1,0,0,,free,0
"Gandarve gård - Äggbod i Vänge",Gotland,Gotland,"VÄNGE GANDARVE 531, 622 36 Romakloster, Sverige",http://gandarvegard.se/,"","","[""ägg""]",1,0,0,,free,0
"Glästäde gård",Gotland,Gotland,"LÄRBRO GLÄSTÄDE 1010, 624 53 Lärbro, Sverige",http://glastadegard.se/,"070-882 68 21","","[""annat""]",1,0,0,,free,0
"Gotlands Bryggeri",Gotland,Visby,"S:t Hansgatan 47, 621 56 Visby, Sverige",https://gotlandsbryggeri.se/,"0498-21 77 73","","[""öl""]",0,1,0,,free,0
"Gotlands Delikatesser Gårdsbutik Pesto&Salmbär",Gotland,Visby,"VÄSKINDE KAUNGS 519, 622 75 Visby, Sverige",http://www.gotlandsdelikatesser.se/,"070-313 77 58","","[""bär""]",1,0,0,,free,0
"Granngården",Gotland,Visby,"Färjeleden 5, 621 58 Visby, Sverige",https://www.granngarden.se/butiker/visby,"","","[""annat""]",0,0,0,,free,0
"Graute gård - Får och Lammgård",Gotland,Gotland,"HEJNUM GRAUTE 310, 624 38 Tingstäde, Sverige",http://www.grautegard.se/,"070-471 29 99","","[""kött""]",1,0,0,,free,0
"Gullans Gård - Lammskinn och gårdsbutik - Gotland",Gotland,Gotland,"Hall Medebys 809, 624 56 Lärbro, Sverige",http://gullansgard.se/,"070-999 28 68","","[""kött""]",1,0,0,,free,0
"Gårdsservice",Gotland,Visby,"Visbyvägen 35, 622 54 Romakloster, Sverige",https://www.gardsservice.se/,"0498-28 71 60","","[""annat""]",1,0,0,,free,0
"Halfvede Musteri",Gotland,Gotland,"När Siglajvs 842, 623 48 Stånga, Sverige",http://halfvede.se/,"0498-23 00 00","","[""vin""]",1,0,0,,free,0
"Kaffestugan vid Bottarve Museigård",Gotland,Gotland,"623 31 Burgsvik, Sverige",http://www.bottarve.se/kaffestuga/,"","","[""annat""]",1,1,0,,free,0
"Kaprifole gårdsbutik",Gotland,Visby,"FOLE HAJDES 595, 621 75 Visby, Sverige",https://oxelgront.se/,"073-312 79 22","","[""annat""]",1,0,0,,free,0
"Kruse Gård",Gotland,Gotland,"Alva Lilla Kruse 613, 623 46 Hemse, Sverige",http://krusegard.se/,"070-548 09 21","","[""annat""]",1,0,0,,free,0
"Krusmyntagården Butik",Gotland,Visby,"Krusmyntavägen 4, 622 76 Visby, Sverige",https://krusmynta.se/,"0498-29 69 00","","[""annat""]",1,0,0,,free,0
"Kvie Trädgård",Gotland,Gotland,"LOJSTA KVIE 122, 623 59 Hemse, Sverige",https://swenavi.org/details/kvie-trdgrd-ChIJM7W,"0498-24 08 02","","[""grönsaker""]",1,0,0,,free,0
"Käbbe Gård Musteri",Gotland,Gotland,"EKSTA KÄBBE 621, 623 54 Klintehamn, Sverige",https://musterigotland.se/,"073-981 87 54","","[""vin""]",0,1,0,,free,0
"Lammboden Almungsgården",Gotland,Gotland,"Stånga Almungs 519, 623 60 Stånga, Sverige",http://www.lammboden.se/,"070-111 19 74","","[""kött""]",1,0,0,,free,0
"Långmyre Vineri - Vineriet",Gotland,Gotland,"Skolvägen 6-10, 623 35 Burgsvik, Sverige",http://www.langmyrevineri.com/,"070-497 76 82","","[""vin""]",0,1,0,,free,0
"Långmyre Vineri - Vingården",Gotland,Gotland,"HAMRA BERTELSMÄSSE 468, 623 32 Burgsvik, Sverige",http://www.langmyrevineri.se/,"","","[""vin""]",0,1,0,,free,0
"Margus Hemslöjd/ Gårdsbutik",Gotland,Gotland,"Hablingbo Stora Domerarve 879, 623 42 Havdhem, Sverige",http://www.margus.se/,"0498-48 71 60","","[""annat""]",1,0,0,,free,0
"Nyplings gårdsbutik",Gotland,Visby,"LOKRUME NYPLINGS 337, 621 74 Visby, Sverige",https://www.facebook.com/nyplingsgardsbutik,"073-393 99 33","","[""annat""]",1,0,0,,free,0
"Ollajvs Gård",Gotland,Gotland,"Alskog Ollajvs 510, 623 64 Ljugarn, Sverige",http://www.ollajvs.se/,"073-707 29 45","","[""annat""]",1,0,0,,free,0
"Ranarve Gårdshandel",Gotland,Gotland,"ÖJA RANARVE 183, 623 33 Burgsvik, Sverige",http://facebook.com/ranarvegardshandel,"070-493 15 02","","[""annat""]",1,0,0,,free,0
"Rommunds fårgård",Gotland,Gotland,"GAMMELGARN ROMMUNDS 612, 623 67 Katthammarsvik, Sverige",https://gotlandslamm.se/,"070-947 61 28","","[""annat""]",1,0,0,,free,0
"Röcklingers Handelsträdgård",Gotland,Gotland,"Angelbosvägen 37, 624 52 Lärbro, Sverige",https://rocklingers.se/,"0498-22 51 28","","[""grönsaker""]",1,0,0,,free,0
"Sallmunds Gård AB",Gotland,Gotland,"LEVIDE SALLMUNDS 497, 623 53 Hemse, Sverige",http://www.sallmundsgard.se/,"070-424 18 69","","[""annat""]",1,0,0,,free,0
"Skags Gård AB",Gotland,Gotland,"Östergarn Skags 277, 623 68 Katthammarsvik, Sverige",http://www.skags.se/,"0498-524 60","","[""grönsaker""]",0,0,0,,free,0
"Sojdungs Gård & Betong AB",Gotland,Visby,"FOLE SOJDUNGS 725, 621 75 Visby, Sverige",https://sojdungs.se/,"073-695 18 50","","[""grönsaker""]",0,0,0,,free,0
"Sorby Bi & Trädgård",Gotland,Gotland,"624 42 Tingstäde, Sverige",https://sv-se.facebook.com/SorbyBi/,"070-640 00 83","","[""grönsaker""]",1,0,0,,free,0
"Stafva Gårdsbutik",Gotland,Visby,"BARLINGBO STAVA 308, 621 78 Visby, Sverige",https://sjaustrukocken.se/pages/stafva-gardsbutik,"070-073 14 04","","[""annat""]",1,0,0,,free,0
"Stenhuse Gård",Gotland,Gotland,"SANDA STENHUSE 243, 623 79 Klintehamn, Sverige",http://www.stenhusegard.se/,"070-731 23 16","","[""annat""]",1,0,0,,free,0
"Stora Tollby Trädgård AB",Gotland,Visby,"FOLE STORA TOLLBY 630, 621 75 Visby, Sverige",https://storatollbygard.se/,"070-346 26 51","","[""grönsaker""]",1,0,0,,free,0
"Ungesmiss gårdsbutik",Gotland,Gotland,"STENKYRKA UNGESMISS 118, 624 42 Tingstäde, Sverige",https://sv-se.facebook.com/ungesmissgard/,"070-296 30 21","","[""annat""]",1,0,0,,free,0
"Widegrens Gård",Gotland,Gotland,"Atlingbo Lilla Björke 703, 622 40 Romakloster, Sverige",http://www.widegrens.se/,"0498-540 80","","[""grönsaker""]",0,0,0,,free,0
"Åminne honung och jästeri",Gotland,Gotland,"GOTHEM HINSER 180, 624 30 Slite, Sverige",https://aminnehonung.se/,"","","[""honung""]",1,0,0,,free,0
"Annas Gårdsbutik och Mejeri",Kalmar,"Vassmolösa","Småskolevägen 8, 388 94 Vassmolösa, Sverige",http://www.annaslantdrommar.se/,"070-533 73 93","","[""mejeri""]",1,0,0,,free,0
"Arla Kalmar Mejeri - Ostlager",Kalmar,Kalmar,"Torsåsgatan 2, 392 39 Kalmar, Sverige",https://www.arla.se/om-arla/mejerier/kalmar-mejeri/,"0480-596 00","","[""mejeri""]",0,0,0,,free,0
"Germundslycke Gård",Kalmar,Halltorp,"Germundslycke, 388 97 Halltorp, Sverige",https://www.facebook.com/Germundslycke,"073-644 09 17","","[""annat""]",0,0,0,,free,0
