id,name,description,address,kommun,lan,lat,lng,website,phone,email,products,onSiteSales,tastingRoom,"gardsförsäljningLicense",isArchipelago,openingHours,season,source
abbes-mejeri,"Abbes Mejeri","","Kungsgatan 8E, 372 30 Ronneby, Sverige",Ronneby,Blekinge,56.2115499,15.2751249,https://www.facebook.com/abbesmejerii,"076-935 39 36","","[""mejeri""]",0,0,0,0,"måndag: 10:00–18:00, tisdag: 10:00–18:00, onsdag: 10:00–18:00, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–16:00, söndag: Stängt","","google-places:gårdsmejeri"
andr-ns-bageri-sturko,"Andréns Bageri Sturkö","","Kyrkvägen 22, 373 61 Sturkö, Sverige","",Blekinge,56.1015086,15.690765,http://www.andrensbageri.se/,"0455-420 07","","[""bakat""]",1,1,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: 07:00–12:00, söndag: Stängt","","google-places:gårdscafé"
annas-gardsbutik-och-mejeri-2,"Annas Gårdsbutik och Mejeri","","Småskolevägen 8, 388 94 Vassmolösa, Sverige","",Blekinge,56.5707002,16.1839141,http://www.annaslantdrommar.se/,"070-533 73 93","","[""mejeri""]",1,0,0,0,"måndag: 06:30–19:00, tisdag: 06:30–19:00, onsdag: 06:30–19:00, torsdag: 06:30–19:00, fredag: 06:30–19:00, lördag: 06:30–19:00, söndag: 06:30–19:00","","google-places:lokal producent mat"
aspo-mad-vin-caf,"Aspö mad vin & café","","Aspö Madsviken, 373 64 Drottningskär, Sverige","",Blekinge,56.1240721,15.5506995,https://aspomad.se/,"070-814 31 58","","[""vin"",""bakat""]",1,1,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 17:00–22:00, lördag: 17:00–22:00, söndag: Stängt","","google-places:gårdscafé"
attanas-gard,"Attanäs Gård","","pl 362, Jämjö kyrka, 373 75 Jämjö, Sverige","",Blekinge,56.1756605,15.9354818,http://www.attanasgard.se/,"073-425 71 72","","[""annat"",""kött""]",1,0,0,0,"måndag: 11:00–18:00, tisdag: 11:00–18:00, onsdag: 11:00–18:00, torsdag: 11:00–18:00, fredag: 11:00–18:00, lördag: 11:00–18:00, söndag: 11:00–18:00","","google-places:gårdsbutik"
banes-kebab-pizza,"Banes Kebab & pizza","","Kyrkogatan 15, 371 31 Karlskrona, Sverige",Karlskrona,Blekinge,56.1609649,15.5897528,https://banespizzeria.se/,"0455-821 44","","[""bakat""]",0,0,0,0,"måndag: 11:00–22:00, tisdag: 11:00–22:00, onsdag: 11:00–22:00, torsdag: 11:00–22:00, fredag: 10:00–04:00, lördag: 10:00–04:00, söndag: Stängt","","google-places:gårdsbageri"
bergqvistska-garden,"Bergqvistska gården","","Borgmästaregatan 19, 371 15 Karlskrona, Sverige",Karlskrona,Blekinge,56.162049,15.5823892,http://cafenyfiket.com/,"","","[""annat""]",0,0,0,0,"","","google-places:ekogård"
birgittas-caf-lanthandel,"Birgittas Café & Lanthandel","","Kalvhagsvägen 2, 372 90 Ronneby, Sverige",Ronneby,Blekinge,56.167846,15.2272199,https://birgittascafeochlanthandel.se/,"070-856 25 12","","[""bakat""]",0,0,0,0,"måndag: Stängt, tisdag: 10:00–17:00, onsdag: 10:00–17:00, torsdag: 10:00–17:00, fredag: 10:00–17:00, lördag: 08:00–16:00, söndag: Stängt","","google-places:gårdsbageri"
bistro-bakgarden,"Bistro Bakgården","","Västra Torggatan 3, 372 30 Ronneby, Sverige",Ronneby,Blekinge,56.2103934,15.2762617,http://www.bistrobakgarden.se/,"0457-63 52 35","","[""annat"",""bakat""]",1,1,0,0,"måndag: 11:00–20:00, tisdag: 11:00–22:00, onsdag: 11:00–22:00, torsdag: 11:00–22:00, fredag: 11:00–01:00, lördag: 12:00–00:00, söndag: Stängt","","google-places:gårdscafé"
bjorketorps-gard-mjolkbutik-kl-8-20-och-glasscaf-juni-augusti-kl-11-18,"Björketorps Gård - Mjölkbutik (kl 8-20) och Glasscafé (juni-augusti kl 11-18)","","Björketorpsvägen 17, 372 95 Johannishus, Sverige","",Blekinge,56.2089258,15.3753664,https://www.bjorketorpsgard.se/,"070-531 38 28","","[""mejeri"",""kött""]",1,0,0,0,"","","google-places:gårdsbutik"
blekinge-bi-och-honung-stangt,"Blekinge Bi och Honung - Stängt","","Skolgatan 22A, 371 38 Karlskrona, Sverige",Karlskrona,Blekinge,56.1766338,15.5808383,https://www.facebook.com/minhonung,"070-833 13 00","","[""honung"",""grönsaker""]",0,0,0,0,"måndag: 09:00–17:00, tisdag: 09:00–17:00, onsdag: 09:00–17:00, torsdag: 09:00–17:00, fredag: 09:00–17:00, lördag: 09:00–17:00, söndag: 09:00–17:00","",google-places:biodling
