name,lan,kommun,address,website,phone,email,products,onSiteSales,tastingRoom,gardsförsäljningLicense,rating,reviewCount,_reason
Danskens Kök & Bar,Gotland,Visby,"Tage Cervins gata 3B, 621 56 Visby, Sverige",http://www.danskens.se/,070-222 99 54,,['annat'],True,True,False,4.5,83,"café/restaurant from specific farm term, small venue"
Eathai Gotland,Gotland,Visby,"Skarphällsgatan 12, 621 41 Visby, Sverige",https://eathaigotland.se/,073-399 79 72,,['annat'],True,True,False,4.4,91,"small high-rated venue, possible local producer"
Ekofrida,Gotland,,"NÄR MICKELGÅRDS 395, 623 48 Stånga, Sverige",http://www.ekofrida.se/,070-426 06 34,,['annat'],True,False,False,4.5,6,"small high-rated venue, possible local producer"
Greens Factory,Gotland,Visby,"Norra Hansegatan 18, 621 41 Visby, Sverige",http://www.greensfactory.se/,,,['annat'],True,True,False,4.5,21,"small high-rated venue, possible local producer"
Hejde Knäcke,Gotland,,"Hejde Forse 650, 623 75 Klintehamn, Sverige",http://www.hejdeknacke.se/,0498-21 43 14,,['annat'],True,False,False,4.8,9,"small high-rated venue, possible local producer"
Hesselby Jernvägskafé (Se FB för öppettider),Gotland,,"DALHEM HÄSSELBY, 622 56 Dalhem, Sverige",https://www.facebook.com/Hesselby-Jernv%C3%A4gskaf%C3%A9-1586179098287351/,073-844 94 58,,['annat'],True,True,False,4.6,167,"small high-rated venue, possible local producer"
Hulte eko,Gotland,,"Hemse Hulte 531, 623 50 Hemse, Sverige",https://swenavi.org/details/hulte-eko-ChIJu5c,0498-48 00 31,,['annat'],True,False,False,4.9,11,"small high-rated venue, possible local producer"
Karamellboden,Gotland,Visby,"Södra Kyrkogatan 7, 621 56 Visby, Sverige",http://www.karamellboden.se/,,,['annat'],True,True,False,4.3,165,"small high-rated venue, possible local producer"
Krakas krog,Gotland,,"KRÄKLINGBO KRÄKLINGS 223, 623 70 Katthammarsvik, Sverige",http://www.krakas.se/,0498-530 62,,['annat'],True,True,False,4.5,85,"small high-rated venue, possible local producer"
Kronholmens Restaurang & Bar,Gotland,Gotland,"VÄSTERGARN KRONHOLMEN 430, 622 30 Gotlands Tofta, Sverige",https://www.visbygk.com/ata,0498-20 09 37,,['annat'],True,True,False,4.3,94,"café/restaurant from specific farm term, small venue"
